addr	size	mangled	demangled
08091b20	29	_ZN4KNpc18RestoreCurrentCampEv	KNpc::RestoreCurrentCamp(void)
08091b40	80	_ZN4KNpc9GetNameIDEv	KNpc::GetNameID(void)
08091b90	115	_ZN4KNpc15ModifyAllMaxResEii	KNpc::ModifyAllMaxRes(int,int)
08091c10	476	_ZN4KNpc14AddPoisonStateEiiii	KNpc::AddPoisonState(int,int,int,int)
08091df0	207	_ZN4KNpc10SyncNotifyEv	KNpc::SyncNotify(void)
08091ec0	832	_ZN4KNpc10SyncPlayerEP7KPlayer	KNpc::SyncPlayer(KPlayer *)
08092200	1001	_ZN4KNpc7MovePosEii	KNpc::MovePos(int,int)
080925f0	488	_ZN4KNpc23CalcPhysicsAttribDamageEPK12KMagicAttribPS0_ii	KNpc::CalcPhysicsAttribDamage(KMagicAttrib const*,KMagicAttrib*,int,int)
080927e0	41	_ZN4KNpc16GetEngergyDamageEv	KNpc::GetEngergyDamage(void)
08092810	321	_ZN4KNpc20CalcColdAttribDamageEPK12KMagicAttribPS0_ii	KNpc::CalcColdAttribDamage(KMagicAttrib const*,KMagicAttrib*,int,int)
